REF_DATE,GEO,DGUID,Storage,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,roling min ,rolling max ,,,,Alberta,,End Date,,,,
Jan-16,Ontario,2016A000235,Closing inventory,Cubic metres,Cubic metres,72,thousands,3,v107028622,3.2.1,6674164,,,,1,,,,,,2018-03-01,,2023.00,12,1,2023-12-01,0.00
Jan-16,Ontario,2016A000235,Closing inventory,Gigajoules,Gigajoules,143,thousands,3,v107028623,3.2.2,254352.4,,,,1,,,,,,2018-04-01,,2023.00,12,1,2023-12-01,0.00
Jan-16,Ontario,2016A000235,Inventory change,Cubic metres,Cubic metres,72,thousands,3,v107028624,3.3.1,-1544820,,,,1,,,,,,2018-05-01,,2023.00,12,1,2023-12-01,0.00
Jan-16,Ontario,2016A000235,Inventory change,Gigajoules,Gigajoules,143,thousands,3,v107028625,3.3.2,-64359.3,,,,1,,,,,,2018-06-01,,2023.00,12,1,2023-12-01,0.00
Jan-16,Ontario,2016A000235,Injections to storage,Cubic metres,Cubic metres,72,thousands,3,v107028626,3.4.1,0,,,,1,,,,,,2018-07-01,,2023.00,12,1,2023-12-01,0.00
Jan-16,Ontario,2016A000235,Injections to storage,Gigajoules,Gigajoules,143,thousands,3,v107028627,3.4.2,0,,,,1,,,,,,2018-08-01,,2023.00,12,1,2023-12-01,0.00
Jan-16,Ontario,2016A000235,Withdrawals from storage,Cubic metres,Cubic metres,72,thousands,3,v107028628,3.5.1,1688776,,,,1,,,,,,2018-09-01,,2023.00,12,1,2023-12-01,0.00
Jan-16,Ontario,2016A000235,Withdrawals from storage,Gigajoules,Gigajoules,143,thousands,3,v107028629,3.5.2,64359.3,,,,1,,,,,,2018-10-01,,2023.00,12,1,2023-12-01,0.00
Jan-16,Ontario,2016A000235,Other adjustments,Cubic metres,Cubic metres,72,thousands,3,v107028630,3.6.1,143956,,,,1,,,,,,2018-11-01,,2023.00,12,1,2023-12-01,0.00
Jan-16,Ontario,2016A000235,Other adjustments,Gigajoules,Gigajoules,143,thousands,3,v107028631,3.6.2,0,,,,1,,,,,,2018-12-01,,2023.00,12,1,2023-12-01,0.00
Jan-16,Saskatchewan,2016A000247,Opening inventory,Cubic metres,Cubic metres,72,thousands,3,v107028632,4.1.1,713734,,,,1,,,,,,2019-01-01,,2024.00,12,1,2024-12-01,0.00
Jan-16,Saskatchewan,2016A000247,Opening inventory,Gigajoules,Gigajoules,143,thousands,3,v107028633,4.1.2,27907,,,,1,,,,,,2019-02-01,,2024.00,12,1,2024-12-01,0.00
Jan-16,Saskatchewan,2016A000247,Closing inventory,Cubic metres,Cubic metres,72,thousands,3,v107028634,4.2.1,527576,,,,1,,,,,,2019-03-01,,2024.00,12,1,2024-12-01,0.00
Jan-16,Saskatchewan,2016A000247,Closing inventory,Gigajoules,Gigajoules,143,thousands,3,v107028635,4.2.2,20586,,,,1,,,,,,2019-04-01,,2024.00,12,1,2024-12-01,0.00
Jan-16,Saskatchewan,2016A000247,Inventory change,Cubic metres,Cubic metres,72,thousands,3,v107028636,4.3.1,-186158,,,,1,,,,,,2019-05-01,,2024.00,12,1,2024-12-01,0.00
Jan-16,Saskatchewan,2016A000247,Inventory change,Gigajoules,Gigajoules,143,thousands,3,v107028637,4.3.2,-7321,,,,1,,,,,,2019-06-01,,2024.00,12,1,2024-12-01,0.00
Jan-16,Saskatchewan,2016A000247,Injections to storage,Cubic metres,Cubic metres,72,thousands,3,v107028638,4.4.1,0,,,,1,,,,,,2019-07-01,,2024.00,12,1,2024-12-01,0.00
Jan-16,Saskatchewan,2016A000247,Injections to storage,Gigajoules,Gigajoules,143,thousands,3,v107028639,4.4.2,0,,,,1,,,,,,2019-08-01,,2024.00,12,1,2024-12-01,0.00
Jan-16,Saskatchewan,2016A000247,Withdrawals from storage,Cubic metres,Cubic metres,72,thousands,3,v107028640,4.5.1,187622,,,,1,,,,,,2019-09-01,,2024.00,12,1,2024-12-01,0.00
Jan-16,Saskatchewan,2016A000247,Withdrawals from storage,Gigajoules,Gigajoules,143,thousands,3,v107028641,4.5.2,7321,,,,1,,,,,,2019-10-01,,2024.00,12,1,2024-12-01,0.00
Jan-16,Saskatchewan,2016A000247,Other adjustments,Cubic metres,Cubic metres,72,thousands,3,v107028642,4.6.1,1463,,,,1,,,,,,2019-11-01,,2024.00,12,1,2024-12-01,0.00
Jan-16,Saskatchewan,2016A000247,Other adjustments,Gigajoules,Gigajoules,143,thousands,3,v107028643,4.6.2,0,,,,1,,,,,,2019-12-01,,2024.00,12,1,2024-12-01,0.00
Jan-16,Alberta,2016A000248,Opening inventory,Cubic metres,Cubic metres,72,thousands,3,v107028644,5.1.1,14246876,,,,1,,,,,,2020-01-01,,2025.00,12,1,2025-12-01,0.00
Jan-16,Alberta,2016A000248,Opening inventory,Gigajoules,Gigajoules,143,thousands,3,v107028645,5.1.2,564888.6,,,,1,,,,,,2020-02-01,,2025.00,12,1,2025-12-01,0.00
Jan-16,Alberta,2016A000248,Closing inventory,Cubic metres,Cubic metres,72,thousands,3,v107028646,5.2.1,13397616,,,,1,,,,,,2020-03-01,,2025.00,12,1,2025-12-01,0.00
Jan-16,Alberta,2016A000248,Closing inventory,Gigajoules,Gigajoules,143,thousands,3,v107028647,5.2.2,531036.8,,,,1,,,,,,2020-04-01,,2025.00,12,1,2025-12-01,0.00
Jan-16,Alberta,2016A000248,Inventory change,Cubic metres,Cubic metres,72,thousands,3,v107028648,5.3.1,-849260,,,,1,,,,,,2020-05-01,,2025.00,12,1,2025-12-01,0.00
Jan-16,Alberta,2016A000248,Inventory change,Gigajoules,Gigajoules,143,thousands,3,v107028649,5.3.2,-24470.5,,,,1,,,,,,2020-06-01,,2025.00,12,1,2025-12-01,0.00
Jan-16,Alberta,2016A000248,Injections to storage,Cubic metres,Cubic metres,72,thousands,3,v107028650,5.4.1,3173,,,,1,,,,,,2020-07-01,,2025.00,12,1,2025-12-01,0.00
Jan-16,Alberta,2016A000248,Injections to storage,Gigajoules,Gigajoules,143,thousands,3,v107028651,5.4.2,125.8,,,,1,,,,,,2020-08-01,,2025.00,12,1,2025-12-01,0.00
Jan-16,Alberta,2016A000248,Withdrawals from storage,Cubic metres,Cubic metres,72,thousands,3,v107028652,5.5.1,848948,,,,1,,,,,,2020-09-01,,2025.00,12,1,2025-12-01,0.00
Jan-16,Alberta,2016A000248,Withdrawals from storage,Gigajoules,Gigajoules,143,thousands,3,v107028653,5.5.2,33649.5,,,,1,,,,,,2020-10-01,,2025.00,12,1,2025-12-01,0.00
Jan-16,Alberta,2016A000248,Other adjustments,Cubic metres,Cubic metres,72,thousands,3,v107028654,5.6.1,-3485,,,,1,,,,,,2020-11-01,,2025.00,12,1,2025-12-01,0.00
Jan-16,Alberta,2016A000248,Other adjustments,Gigajoules,Gigajoules,143,thousands,3,v107028655,5.6.2,-328.1,,,,1,,,,,,2020-12-01,,2025.00,12,1,2025-12-01,0.00
Jan-16,British Columbia,2016A000259,Opening inventory,Cubic metres,Cubic metres,72,thousands,3,v107028656,6.1.1,1502380,,,,1,,,,,,2021-01-01,,2026.00,12,1,2026-12-01,0.00
Jan-16,British Columbia,2016A000259,Opening inventory,Gigajoules,Gigajoules,143,thousands,3,v107028657,6.1.2,58352.4,,,,1,,,,,,2021-02-01,,2026.00,12,1,2026-12-01,0.00
Jan-16,British Columbia,2016A000259,Closing inventory,Cubic metres,Cubic metres,72,thousands,3,v107028658,6.2.1,1250309,,,,1,,,,,,2021-03-01,,2026.00,12,1,2026-12-01,0.00
Jan-16,British Columbia,2016A000259,Closing inventory,Gigajoules,Gigajoules,143,thousands,3,v107028659,6.2.2,48562,,,,1,,,,,,2021-04-01,,2026.00,12,1,2026-12-01,0.00
Jan-16,British Columbia,2016A000259,Inventory change,Cubic metres,Cubic metres,72,thousands,3,v107028660,6.3.1,-252071,,,,1,,,,,,2021-05-01,,2026.00,12,1,2026-12-01,0.00
Jan-16,British Columbia,2016A000259,Inventory change,Gigajoules,Gigajoules,143,thousands,3,v107028661,6.3.2,-9790.4,,,,1,,,,,,2021-06-01,,2026.00,12,1,2026-12-01,0.00
Jan-16,British Columbia,2016A000259,Injections to storage,Cubic metres,Cubic metres,72,thousands,3,v107028662,6.4.1,0,,,,1,,,,,,2021-07-01,,2026.00,12,1,2026-12-01,0.00
Jan-16,British Columbia,2016A000259,Injections to storage,Gigajoules,Gigajoules,143,thousands,3,v107028663,6.4.2,0,,,,1,,,,,,2021-08-01,,2026.00,12,1,2026-12-01,0.00
Jan-16,British Columbia,2016A000259,Withdrawals from storage,Cubic metres,Cubic metres,72,thousands,3,v107028664,6.5.1,252071,,,,1,,,,,,2021-09-01,,2026.00,12,1,2026-12-01,0.00
Jan-16,British Columbia,2016A000259,Withdrawals from storage,Gigajoules,Gigajoules,143,thousands,3,v107028665,6.5.2,9790.4,,,,1,,,,,,2021-10-01,,2026.00,12,1,2026-12-01,0.00
Jan-16,British Columbia,2016A000259,Other adjustments,Cubic metres,Cubic metres,72,thousands,3,v107028666,6.6.1,0,,,,1,,,,,,2021-11-01,,2026.00,12,1,2026-12-01,0.00
Jan-16,British Columbia,2016A000259,Other adjustments,Gigajoules,Gigajoules,143,thousands,3,v107028667,6.6.2,0,,,,1,,,,,,2021-12-01,,2026.00,12,1,2026-12-01,0.00
Feb-16,Canada,2016A000011124,Opening inventory,Cubic metres,Cubic metres,72,thousands,3,v107028596,1.1.1,22220401,,,,1,,,,,,2022-01-01,,2027.00,12,1,2027-12-01,0.00
Feb-16,Canada,2016A000011124,Opening inventory,Gigajoules,Gigajoules,143,thousands,3,v107028597,1.1.2,868621.5,,,,1,,,,,,2022-02-01,,2027.00,12,1,2027-12-01,0.00
Feb-16,Canada,2016A000011124,Closing inventory,Cubic metres,Cubic metres,72,thousands,3,v107028598,1.2.1,20472652,,,,1,,,,,,2022-03-01,,2027.00,12,1,2027-12-01,0.00
Feb-16,Canada,2016A000011124,Closing inventory,Gigajoules,Gigajoules,143,thousands,3,v107028599,1.2.2,800346.9,,,,1,,,,,,2022-04-01,,2027.00,12,1,2027-12-01,0.00
Feb-16,Canada,2016A000011124,Inventory change,Cubic metres,Cubic metres,72,thousands,3,v107028600,1.3.1,-1747749,,,,1,,,,,,2022-05-01,,2027.00,12,1,2027-12-01,0.00
Feb-16,Canada,2016A000011124,Inventory change,Gigajoules,Gigajoules,143,thousands,3,v107028601,1.3.2,-68274.6,,,,1,,,,,,2022-06-01,,2027.00,12,1,2027-12-01,0.00
Feb-16,Canada,2016A000011124,Injections to storage,Cubic metres,Cubic metres,72,thousands,3,v107028602,1.4.1,171881,,,,1,,,,,,2022-07-01,,2027.00,12,1,2027-12-01,0.00
Feb-16,Canada,2016A000011124,Injections to storage,Gigajoules,Gigajoules,143,thousands,3,v107028603,1.4.2,6800.4,,,,1,,,,,,2022-08-01,,2027.00,12,1,2027-12-01,0.00
Feb-16,Canada,2016A000011124,Withdrawals from storage,Cubic metres,Cubic metres,72,thousands,3,v107028604,1.5.1,1945799,,,,1,,,,,,2022-09-01,,2027.00,12,1,2027-12-01,0.00
Feb-16,Canada,2016A000011124,Withdrawals from storage,Gigajoules,Gigajoules,143,thousands,3,v107028605,1.5.2,74786.1,,,,1,,,,,,2022-10-01,,2027.00,12,1,2027-12-01,0.00
Feb-16,Canada,2016A000011124,Other adjustments,Cubic metres,Cubic metres,72,thousands,3,v107028606,1.6.1,26169,,,,1,,,,,,2022-11-01,,2027.00,12,1,2027-12-01,0.00
Feb-16,Canada,2016A000011124,Other adjustments,Gigajoules,Gigajoules,143,thousands,3,v107028607,1.6.2,-289,,,,1,,,,,,2022-12-01,,2027.00,12,1,2027-12-01,0.00
Feb-16,Quebec,2016A000224,Opening inventory,Cubic metres,Cubic metres,72,thousands,3,v107028608,2.1.1,370737,,,,1,,,,,,2023-01-01,,2028.00,12,1,2028-12-01,0.00
Feb-16,Quebec,2016A000224,Opening inventory,Gigajoules,Gigajoules,143,thousands,3,v107028609,2.1.2,14084.3,,,,1,,,,,,2023-02-01,,2028.00,12,1,2028-12-01,0.00
Feb-16,Quebec,2016A000224,Closing inventory,Cubic metres,Cubic metres,72,thousands,3,v107028610,2.2.1,335009,,,,1,,,,,,2023-03-01,,2028.00,12,1,2028-12-01,0.00
Feb-16,Quebec,2016A000224,Closing inventory,Gigajoules,Gigajoules,143,thousands,3,v107028611,2.2.2,12727,,,,1,,,,,,2023-04-01,,2028.00,12,1,2028-12-01,0.00
Feb-16,Quebec,2016A000224,Inventory change,Cubic metres,Cubic metres,72,thousands,3,v107028612,2.3.1,-35728,,,,1,,,,,,2023-05-01,,2028.00,12,1,2028-12-01,0.00
Feb-16,Quebec,2016A000224,Inventory change,Gigajoules,Gigajoules,143,thousands,3,v107028613,2.3.2,-1357.3,,,,1,,,,,,2023-06-01,,2028.00,12,1,2028-12-01,0.00
Feb-16,Quebec,2016A000224,Injections to storage,Cubic metres,Cubic metres,72,thousands,3,v107028614,2.4.1,0,,,,1,,,,,,2023-07-01,,2028.00,12,1,2028-12-01,0.00
Feb-16,Quebec,2016A000224,Injections to storage,Gigajoules,Gigajoules,143,thousands,3,v107028615,2.4.2,0,,,,1,,,,,,2023-08-01,,2028.00,12,1,2028-12-01,0.00
Feb-16,Quebec,2016A000224,Withdrawals from storage,Cubic metres,Cubic metres,72,thousands,3,v107028616,2.5.1,34943,,,,1,,,,,,2023-09-01,,2028.00,12,1,2028-12-01,0.00
Feb-16,Quebec,2016A000224,Withdrawals from storage,Gigajoules,Gigajoules,143,thousands,3,v107028617,2.5.2,1327.5,,,,1,,,,,,,,,,,,
Feb-16,Quebec,2016A000224,Other adjustments,Cubic metres,Cubic metres,72,thousands,3,v107028618,2.6.1,-785,,,,1,,,,,,,,,,,,
Feb-16,Quebec,2016A000224,Other adjustments,Gigajoules,Gigajoules,143,thousands,3,v107028619,2.6.2,-29.8,,,,1,,,,,,,,,,,,
Feb-16,Ontario,2016A000235,Opening inventory,Cubic metres,Cubic metres,72,thousands,3,v107028620,3.1.1,6674164,,,,1,,,,,,,,,,,,
Feb-16,Ontario,2016A000235,Opening inventory,Gigajoules,Gigajoules,143,thousands,3,v107028621,3.1.2,254352.4,,,,1,,,,,,,,,,,,
Feb-16,Ontario,2016A000235,Closing inventory,Cubic metres,Cubic metres,72,thousands,3,v107028622,3.2.1,5403680,,,,1,,,,,,,,,,,,
Feb-16,Ontario,2016A000235,Closing inventory,Gigajoules,Gigajoules,143,thousands,3,v107028623,3.2.2,205623.5,,,,1,,,,,,,,,,,,
Feb-16,Ontario,2016A000235,Inventory change,Cubic metres,Cubic metres,72,thousands,3,v107028624,3.3.1,-1270484,,,,1,,,,,,,,,,,,
Feb-16,Ontario,2016A000235,Inventory change,Gigajoules,Gigajoules,143,thousands,3,v107028625,3.3.2,-48728.9,,,,1,,,,,,,,,,,,
Feb-16,Ontario,2016A000235,Injections to storage,Cubic metres,Cubic metres,72,thousands,3,v107028626,3.4.1,0,,,,1,,,,,,,,,,,,
Feb-16,Ontario,2016A000235,Injections to storage,Gigajoules,Gigajoules,143,thousands,3,v107028627,3.4.2,0,,,,1,,,,,,,,,,,,
Feb-16,Ontario,2016A000235,Withdrawals from storage,Cubic metres,Cubic metres,72,thousands,3,v107028628,3.5.1,1280569,,,,1,,,,,,,,,,,,
Feb-16,Ontario,2016A000235,Withdrawals from storage,Gigajoules,Gigajoules,143,thousands,3,v107028629,3.5.2,48728.9,,,,1,,,,,,,,,,,,
Feb-16,Ontario,2016A000235,Other adjustments,Cubic metres,Cubic metres,72,thousands,3,v107028630,3.6.1,10085,,,,1,,,,,,,,,,,,
Feb-16,Ontario,2016A000235,Other adjustments,Gigajoules,Gigajoules,143,thousands,3,v107028631,3.6.2,0,,,,1,,,,,,,,,,,,
Feb-16,Saskatchewan,2016A000247,Opening inventory,Cubic metres,Cubic metres,72,thousands,3,v107028632,4.1.1,527576,,,,1,,,,,,,,,,,,
Feb-16,Saskatchewan,2016A000247,Opening inventory,Gigajoules,Gigajoules,143,thousands,3,v107028633,4.1.2,20586,,,,1,,,,,,,,,,,,
Feb-16,Saskatchewan,2016A000247,Closing inventory,Cubic metres,Cubic metres,72,thousands,3,v107028634,4.2.1,439057,,,,1,,,,,,,,,,,,
Feb-16,Saskatchewan,2016A000247,Closing inventory,Gigajoules,Gigajoules,143,thousands,3,v107028635,4.2.2,17132,,,,1,,,,,,,,,,,,
Feb-16,Saskatchewan,2016A000247,Inventory change,Cubic metres,Cubic metres,72,thousands,3,v107028636,4.3.1,-88519,,,,1,,,,,,,,,,,,
Feb-16,Saskatchewan,2016A000247,Inventory change,Gigajoules,Gigajoules,143,thousands,3,v107028637,4.3.2,-3454,,,,1,,,,,,,,,,,,
Feb-16,Saskatchewan,2016A000247,Injections to storage,Cubic metres,Cubic metres,72,thousands,3,v107028638,4.4.1,0,,,,1,,,,,,,,,,,,
Feb-16,Saskatchewan,2016A000247,Injections to storage,Gigajoules,Gigajoules,143,thousands,3,v107028639,4.4.2,0,,,,1,,,,,,,,,,,,
Feb-16,Saskatchewan,2016A000247,Withdrawals from storage,Cubic metres,Cubic metres,72,thousands,3,v107028640,4.5.1,88519,,,,1,,,,,,,,,,,,
Feb-16,Saskatchewan,2016A000247,Withdrawals from storage,Gigajoules,Gigajoules,143,thousands,3,v107028641,4.5.2,3454,,,,1,,,,,,,,,,,,
Feb-16,Saskatchewan,2016A000247,Other adjustments,Cubic metres,Cubic metres,72,thousands,3,v107028642,4.6.1,0,,,,1,,,,,,,,,,,,
Feb-16,Saskatchewan,2016A000247,Other adjustments,Gigajoules,Gigajoules,143,thousands,3,v107028643,4.6.2,0,,,,1,,,,,,,,,,,,
Feb-16,Alberta,2016A000248,Opening inventory,Cubic metres,Cubic metres,72,thousands,3,v107028644,5.1.1,13397616,,,,1,,,,,,,,,,,,
Feb-16,Alberta,2016A000248,Opening inventory,Gigajoules,Gigajoules,143,thousands,3,v107028645,5.1.2,531036.8,,,,1,,,,,,,,,,,,
Feb-16,Alberta,2016A000248,Closing inventory,Cubic metres,Cubic metres,72,thousands,3,v107028646,5.2.1,13264903,,,,1,,,,,,,,,,,,
Feb-16,Alberta,2016A000248,Closing inventory,Gigajoules,Gigajoules,143,thousands,3,v107028647,5.2.2,524859.1,,,,1,,,,,,,,,,,,
Feb-16,Alberta,2016A000248,Inventory change,Cubic metres,Cubic metres,72,thousands,3,v107028648,5.3.1,-132713,,,,1,,,,,,,,,,,,
Feb-16,Alberta,2016A000248,Inventory change,Gigajoules,Gigajoules,143,thousands,3,v107028649,5.3.2,-6177.8,,,,1,,,,,,,,,,,,
Feb-16,Alberta,2016A000248,Injections to storage,Cubic metres,Cubic metres,72,thousands,3,v107028650,5.4.1,171248,,,,1,,,,,,,,,,,,
Feb-16,Alberta,2016A000248,Injections to storage,Gigajoules,Gigajoules,143,thousands,3,v107028651,5.4.2,6775.8,,,,1,,,,,,,,,,,,
Feb-16,Alberta,2016A000248,Withdrawals from storage,Cubic metres,Cubic metres,72,thousands,3,v107028652,5.5.1,320932,,,,1,,,,,,,,,,,,
Feb-16,Alberta,2016A000248,Withdrawals from storage,Gigajoules,Gigajoules,143,thousands,3,v107028653,5.5.2,12698.5,,,,1,,,,,,,,,,,,
Feb-16,Alberta,2016A000248,Other adjustments,Cubic metres,Cubic metres,72,thousands,3,v107028654,5.6.1,16972,,,,1,,,,,,,,,,,,
Feb-16,Alberta,2016A000248,Other adjustments,Gigajoules,Gigajoules,143,thousands,3,v107028655,5.6.2,-255.1,,,,1,,,,,,,,,,,,
Feb-16,British Columbia,2016A000259,Opening inventory,Cubic metres,Cubic metres,72,thousands,3,v107028656,6.1.1,1250309,,,,1,,,,,,,,,,,,
Feb-16,British Columbia,2016A000259,Opening inventory,Gigajoules,Gigajoules,143,thousands,3,v107028657,6.1.2,48562,,,,1,,,,,,,,,,,,
Feb-16,British Columbia,2016A000259,Closing inventory,Cubic metres,Cubic metres,72,thousands,3,v107028658,6.2.1,1030003,,,,1,,,,,,,,,,,,
Feb-16,British Columbia,2016A000259,Closing inventory,Gigajoules,Gigajoules,143,thousands,3,v107028659,6.2.2,40005.3,,,,1,,,,,,,,,,,,
Feb-16,British Columbia,2016A000259,Inventory change,Cubic metres,Cubic metres,72,thousands,3,v107028660,6.3.1,-220306,,,,1,,,,,,,,,,,,
Feb-16,British Columbia,2016A000259,Inventory change,Gigajoules,Gigajoules,143,thousands,3,v107028661,6.3.2,-8556.7,,,,1,,,,,,,,,,,,
Feb-16,British Columbia,2016A000259,Injections to storage,Cubic metres,Cubic metres,72,thousands,3,v107028662,6.4.1,633,,,,1,,,,,,,,,,,,
Feb-16,British Columbia,2016A000259,Injections to storage,Gigajoules,Gigajoules,143,thousands,3,v107028663,6.4.2,24.6,,,,1,,,,,,,,,,,,
Feb-16,British Columbia,2016A000259,Withdrawals from storage,Cubic metres,Cubic metres,72,thousands,3,v107028664,6.5.1,220836,,,,1,,,,,,,,,,,,
Feb-16,British Columbia,2016A000259,Withdrawals from storage,Gigajoules,Gigajoules,143,thousands,3,v107028665,6.5.2,8577.3,,,,1,,,,,,,,,,,,
Feb-16,British Columbia,2016A000259,Other adjustments,Cubic metres,Cubic metres,72,thousands,3,v107028666,6.6.1,-103,,,,1,,,,,,,,,,,,
Feb-16,British Columbia,2016A000259,Other adjustments,Gigajoules,Gigajoules,143,thousands,3,v107028667,6.6.2,-4,,,,1,,,,,,,,,,,,
Mar-16,Canada,2016A000011124,Opening inventory,Cubic metres,Cubic metres,72,thousands,3,v107028596,1.1.1,20472652,,,,1,,,,,,,,,,,,
Mar-16,Canada,2016A000011124,Opening inventory,Gigajoules,Gigajoules,143,thousands,3,v107028597,1.1.2,800346.9,,,,1,,,,,,,,,,,,
Mar-16,Canada,2016A000011124,Closing inventory,Cubic metres,Cubic metres,72,thousands,3,v107028598,1.2.1,21006678,,,,1,,,,,,,,,,,,
Mar-16,Canada,2016A000011124,Closing inventory,Gigajoules,Gigajoules,143,thousands,3,v107028599,1.2.2,820999.4,,,,1,,,,,,,,,,,,
Mar-16,Canada,2016A000011124,Inventory change,Cubic metres,Cubic metres,72,thousands,3,v107028600,1.3.1,534027,,,,1,,,,,,,,,,,,
