REF_DATE,GEO,DGUID,Storage,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,roling min ,rolling max ,,,,Alberta,,End Date,,,,
Jan-16,Canada,2016A000011124,Opening inventory,Cubic metres,Cubic metres,72,thousands,3,v107028596,1.1.1,25095630,,,,1,,,,,,2016-01-01,,2021.00,12,1,2021-12-01,0.00
Jan-16,Canada,2016A000011124,Opening inventory,Gigajoules,Gigajoules,143,thousands,3,v107028597,1.1.2,985574.5,,,,1,,,,,,2016-02-01,,2021.00,12,1,2021-12-01,0.00
Jan-16,Canada,2016A000011124,Closing inventory,Cubic metres,Cubic metres,72,thousands,3,v107028598,1.2.1,22220401,,,,1,,,,,,2016-03-01,,2021.00,12,1,2021-12-01,0.00
Jan-16,Canada,2016A000011124,Closing inventory,Gigajoules,Gigajoules,143,thousands,3,v107028599,1.2.2,868621.5,,,,1,,,,,,2016-04-01,,2021.00,12,1,2021-12-01,0.00
Jan-16,Canada,2016A000011124,Inventory change,Cubic metres,Cubic metres,72,thousands,3,v107028600,1.3.1,-2875229,,,,1,,,,,,2016-05-01,,2021.00,12,1,2021-12-01,0.00
Jan-16,Canada,2016A000011124,Inventory change,Gigajoules,Gigajoules,143,thousands,3,v107028601,1.3.2,-107571.7,,,,1,,,,,,2016-06-01,,2021.00,12,1,2021-12-01,0.00
Jan-16,Canada,2016A000011124,Injections to storage,Cubic metres,Cubic metres,72,thousands,3,v107028602,1.4.1,10184,,,,1,,,,,,2016-07-01,,2021.00,12,1,2021-12-01,0.00
Jan-16,Canada,2016A000011124,Injections to storage,Gigajoules,Gigajoules,143,thousands,3,v107028603,1.4.2,392.1,,,,1,,,,,,2016-08-01,,2021.00,12,1,2021-12-01,0.00
Jan-16,Canada,2016A000011124,Withdrawals from storage,Cubic metres,Cubic metres,72,thousands,3,v107028604,1.5.1,3027347,,,,1,,,,,,2016-09-01,,2021.00,12,1,2021-12-01,0.00
Jan-16,Canada,2016A000011124,Withdrawals from storage,Gigajoules,Gigajoules,143,thousands,3,v107028605,1.5.2,117017,,,,1,,,,,,2016-10-01,,2021.00,12,1,2021-12-01,0.00
Jan-16,Canada,2016A000011124,Other adjustments,Cubic metres,Cubic metres,72,thousands,3,v107028606,1.6.1,141934,,,,1,,,,,,2016-11-01,,2021.00,12,1,2021-12-01,0.00
Jan-16,Canada,2016A000011124,Other adjustments,Gigajoules,Gigajoules,143,thousands,3,v107028607,1.6.2,-328.1,,,,1,,,,,,2016-12-01,,2021.00,12,1,2021-12-01,0.00
Jan-16,Quebec,2016A000224,Opening inventory,Cubic metres,Cubic metres,72,thousands,3,v107028608,2.1.1,413656,,,,1,,,,,,2017-01-01,,2022.00,12,1,2022-12-01,0.00
Jan-16,Quebec,2016A000224,Opening inventory,Gigajoules,Gigajoules,143,thousands,3,v107028609,2.1.2,15714.8,,,,1,,,,,,2017-02-01,,2022.00,12,1,2022-12-01,0.00
Jan-16,Quebec,2016A000224,Closing inventory,Cubic metres,Cubic metres,72,thousands,3,v107028610,2.2.1,370737,,,,1,,,,,,2017-03-01,,2022.00,12,1,2022-12-01,0.00
Jan-16,Quebec,2016A000224,Closing inventory,Gigajoules,Gigajoules,143,thousands,3,v107028611,2.2.2,14084.3,,,,1,,,,,,2017-04-01,,2022.00,12,1,2022-12-01,0.00
Jan-16,Quebec,2016A000224,Inventory change,Cubic metres,Cubic metres,72,thousands,3,v107028612,2.3.1,-42919,,,,1,,,,,,2017-05-01,,2022.00,12,1,2022-12-01,0.00
Jan-16,Quebec,2016A000224,Inventory change,Gigajoules,Gigajoules,143,thousands,3,v107028613,2.3.2,-1630.5,,,,1,,,,,,2017-06-01,,2022.00,12,1,2022-12-01,0.00
Jan-16,Quebec,2016A000224,Injections to storage,Cubic metres,Cubic metres,72,thousands,3,v107028614,2.4.1,7011,,,,1,,,,,,2017-07-01,,2022.00,12,1,2022-12-01,0.00
Jan-16,Quebec,2016A000224,Injections to storage,Gigajoules,Gigajoules,143,thousands,3,v107028615,2.4.2,266.3,,,,1,,,,,,2017-08-01,,2022.00,12,1,2022-12-01,0.00
Jan-16,Quebec,2016A000224,Withdrawals from storage,Cubic metres,Cubic metres,72,thousands,3,v107028616,2.5.1,49930,,,,1,,,,,,2017-09-01,,2022.00,12,1,2022-12-01,0.00
Jan-16,Quebec,2016A000224,Withdrawals from storage,Gigajoules,Gigajoules,143,thousands,3,v107028617,2.5.2,1896.8,,,,1,,,,,,2017-10-01,,2022.00,12,1,2022-12-01,0.00
Jan-16,Quebec,2016A000224,Other adjustments,Cubic metres,Cubic metres,72,thousands,3,v107028618,2.6.1,0,,,,1,,,,,,2017-11-01,,2022.00,12,1,2022-12-01,0.00
Jan-16,Quebec,2016A000224,Other adjustments,Gigajoules,Gigajoules,143,thousands,3,v107028619,2.6.2,0,,,,1,,,,,,2017-12-01,,2022.00,12,1,2022-12-01,0.00
Jan-16,Ontario,2016A000235,Opening inventory,Cubic metres,Cubic metres,72,thousands,3,v107028620,3.1.1,8218984,,,,1,,,,,,2018-01-01,,2023.00,12,1,2023-12-01,0.00
Jan-16,Ontario,2016A000235,Opening inventory,Gigajoules,Gigajoules,143,thousands,3,v107028621,3.1.2,318711.7,,,,1,,,,,,2018-02-01,,2023.00,12,1,2023-12-01,0.00
